# Chunk-averaged data for fix densityRegions2 and group drug
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/mass
100000 50 350.00000000000006
  40 0.79 22.7625 0.0278203
  41 0.81 23.3125 0.0284926
  42 0.83 21.85 0.0267051
  43 0.85 22.45 0.0274384
  44 0.87 20.5375 0.0251009
  45 0.89 20.6 0.0251773
  46 0.91 22.3125 0.0272704
  47 0.93 24.9875 0.0305397
  48 0.95 14.3 0.0174775
  49 0.97 2.9125 0.00355966
  50 0.99 0.8375 0.00102359
800000 50 350.0000000000001
  1 0.01 0.7 0.00085554
  2 0.03 0.65 0.00079443
  3 0.05 0.75 0.00091665
  4 0.07 0.675 0.000824985
  5 0.09 0.825 0.00100832
  6 0.11 0.9125 0.00111526
  7 0.13 0.925 0.00113054
  8 0.15 1.025 0.00125276
  9 0.17 0.9 0.00109998
  10 0.19 0.9125 0.00111526
  11 0.21 1.0625 0.00129859
  12 0.23 1.175 0.00143609
  13 0.25 1.225 0.0014972
  14 0.27 0.9375 0.00114581
  15 0.29 0.9375 0.00114581
  16 0.31 0.925 0.00113054
  17 0.33 0.9375 0.00114581
  18 0.35 0.95 0.00116109
  19 0.37 1.1375 0.00139025
  20 0.39 0.8125 0.000993038
  21 0.41 0.725 0.000886095
  22 0.43 0.8 0.00097776
  23 0.45 0.625 0.000763875
  24 0.47 0.9125 0.00111526
  25 0.49 0.925 0.00113054
  26 0.51 0.8 0.00097776
  27 0.53 0.6875 0.000840263
  28 0.55 1.05 0.00128331
  29 0.57 0.7125 0.000870818
  30 0.59 0.8 0.00097776
  31 0.61 0.825 0.00100832
  32 0.63 0.7875 0.000962483
  33 0.65 0.6875 0.000840263
  34 0.67 2.8125 0.00343744
  35 0.69 13.5125 0.016515
  36 0.71 21.3375 0.0260787
  37 0.73 24.775 0.03028
  38 0.75 26.75 0.0326939
  39 0.77 25.475 0.0311356
  40 0.79 26.875 0.0328466
  41 0.81 24.55 0.030005
  42 0.83 18.7125 0.0228704
  43 0.85 21.575 0.026369
  44 0.87 24.75 0.0302495
  45 0.89 24.35 0.0297606
  46 0.91 23.4375 0.0286453
  47 0.93 23.3 0.0284773
  48 0.95 15.6625 0.0191427
  49 0.97 2.6875 0.00328466
  50 0.99 0.725 0.000886095
900000 50 350.00000000000006
  1 0.01 1.1125 0.0013597
  2 0.03 1 0.0012222
  3 0.05 1.225 0.0014972
  4 0.07 0.9875 0.00120692
  5 0.09 1 0.0012222
  6 0.11 0.85 0.00103887
  7 0.13 1.0875 0.00132914
  8 0.15 0.7875 0.000962483
  9 0.17 0.7125 0.000870818
  10 0.19 0.75 0.00091665
  11 0.21 0.8125 0.000993038
  12 0.23 0.5375 0.000656933
  13 0.25 0.675 0.000824985
  14 0.27 0.5125 0.000626378
  15 0.29 0.825 0.00100832
  16 0.31 0.625 0.000763875
  17 0.33 0.5 0.0006111
  18 0.35 0.5625 0.000687488
  19 0.37 0.6625 0.000809708
  20 0.39 0.625 0.000763875
  21 0.41 0.7 0.00085554
  22 0.43 0.6625 0.000809708
  23 0.45 0.7125 0.000870818
  24 0.47 0.5875 0.000718043
  25 0.49 0.7375 0.000901373
  26 0.51 0.6375 0.000779153
  27 0.53 0.525 0.000641655
  28 0.55 0.7 0.00085554
  29 0.57 0.7375 0.000901373
  30 0.59 0.7125 0.000870818
  31 0.61 0.8 0.00097776
  32 0.63 0.7625 0.000931928
  33 0.65 0.85 0.00103887
  34 0.67 3.525 0.00430826
  35 0.69 16.4625 0.0201205
  36 0.71 23.575 0.0288134
  37 0.73 21.4125 0.0261704
  38 0.75 22.5125 0.0275148
  39 0.77 27.65 0.0337938
  40 0.79 27.075 0.0330911
  41 0.81 24.4125 0.029837
  42 0.83 22.4 0.0273773
  43 0.85 19.25 0.0235274
  44 0.87 22.2875 0.0272398
  45 0.89 24.0875 0.0294398
  46 0.91 25.2375 0.0308453
  47 0.93 24.475 0.0299134
  48 0.95 16.3625 0.0199983
  49 0.97 3.425 0.00418604
  50 0.99 0.875 0.00106943
1000000 50 349.99999999999994
  1 0.01 0.6375 0.000779153
  2 0.03 0.8 0.00097776
  3 0.05 0.6875 0.000840263
  4 0.07 0.7875 0.000962483
  5 0.09 0.875 0.00106943
  6 0.11 0.7125 0.000870818
  7 0.13 0.9 0.00109998
  8 0.15 0.9 0.00109998
  9 0.17 1 0.0012222
  10 0.19 0.7 0.00085554
  11 0.21 0.9625 0.00117637
  12 0.23 0.6375 0.000779153
  13 0.25 0.675 0.000824985
  14 0.27 0.675 0.000824985
  15 0.29 0.775 0.000947205
  16 0.31 1.0125 0.00123748
  17 0.33 0.75 0.00091665
  18 0.35 0.925 0.00113054
  19 0.37 0.7875 0.000962483
  20 0.39 0.8375 0.00102359
  21 0.41 0.7 0.00085554
  22 0.43 0.8125 0.000993038
  23 0.45 0.9625 0.00117637
  24 0.47 0.7625 0.000931928
  25 0.49 0.825 0.00100832
  26 0.51 0.9125 0.00111526
  27 0.53 0.9 0.00109998
  28 0.55 0.875 0.00106943
  29 0.57 0.7375 0.000901373
  30 0.59 0.7 0.00085554
  31 0.61 1.05 0.00128331
  32 0.63 1.0125 0.00123748
  33 0.65 0.9875 0.00120692
  34 0.67 3.35 0.00409437
  35 0.69 14.3625 0.0175539
  36 0.71 20.2625 0.0247648
  37 0.73 20.125 0.0245968
  38 0.75 24.575 0.0300356
  39 0.77 27.9375 0.0341452
  40 0.79 25.6875 0.0313953
  41 0.81 24.825 0.0303411
  42 0.83 22.775 0.0278356
  43 0.85 19.7625 0.0241537
  44 0.87 23.4375 0.0286453
  45 0.89 27.0625 0.0330758
  46 0.91 24.775 0.03028
  47 0.93 23.7 0.0289662
  48 0.95 15.725 0.0192191
  49 0.97 3.525 0.00430826
  50 0.99 0.8375 0.00102359
1100000 50 350
  1 0.01 0.9125 0.00111526
  2 0.03 0.7875 0.000962483
  3 0.05 0.9625 0.00117637
  4 0.07 0.675 0.000824985
  5 0.09 0.7625 0.000931928
  6 0.11 0.5875 0.000718043
  7 0.13 0.625 0.000763875
  8 0.15 0.5625 0.000687488
  9 0.17 0.5 0.0006111
  10 0.19 0.6 0.00073332
  11 0.21 0.6375 0.000779153
  12 0.23 0.4875 0.000595823
  13 0.25 0.55 0.00067221
  14 0.27 0.575 0.000702765
  15 0.29 0.65 0.00079443
  16 0.31 0.6 0.00073332
  17 0.33 1.025 0.00125276
  18 0.35 0.8625 0.00105415
  19 0.37 0.6625 0.000809708
  20 0.39 0.8625 0.00105415
  21 0.41 0.8 0.00097776
  22 0.43 0.9125 0.00111526
  23 0.45 0.8625 0.00105415
  24 0.47 1 0.0012222
  25 0.49 0.7625 0.000931928
  26 0.51 0.925 0.00113054
  27 0.53 0.9375 0.00114581
  28 0.55 0.8875 0.0010847
  29 0.57 0.875 0.00106943
  30 0.59 0.95 0.00116109
  31 0.61 0.8875 0.0010847
  32 0.63 0.75 0.00091665
  33 0.65 0.9 0.00109998
  34 0.67 2.8625 0.00349855
  35 0.69 13.925 0.0170191
  36 0.71 22.1625 0.027087
  37 0.73 23.4625 0.0286759
  38 0.75 23.75 0.0290273
  39 0.77 24.425 0.0298522
  40 0.79 24 0.0293328
  41 0.81 23.95 0.0292717
  42 0.83 23.2125 0.0283703
  43 0.85 24.675 0.0301578
  44 0.87 24.15 0.0295161
  45 0.89 24.2875 0.0296842
  46 0.91 24.1375 0.0295009
  47 0.93 25.2125 0.0308147
  48 0.95 16.0875 0.0196622
  49 0.97 3.55 0.00433881
  50 0.99 0.8125 0.000993038
1200000 50 350
  1 0.01 0.75 0.00091665
  2 0.03 0.65 0.00079443
  3 0.05 0.8375 0.00102359
  4 0.07 0.75 0.00091665
  5 0.09 0.6875 0.000840263
  6 0.11 0.6 0.00073332
  7 0.13 0.6125 0.000748598
  8 0.15 0.625 0.000763875
  9 0.17 0.7125 0.000870818
  10 0.19 0.7125 0.000870818
  11 0.21 0.6 0.00073332
  12 0.23 0.7 0.00085554
  13 0.25 0.7375 0.000901373
  14 0.27 0.85 0.00103887
  15 0.29 0.875 0.00106943
  16 0.31 0.6625 0.000809708
  17 0.33 0.9 0.00109998
  18 0.35 0.65 0.00079443
  19 0.37 0.775 0.000947205
  20 0.39 0.65 0.00079443
  21 0.41 0.7125 0.000870818
  22 0.43 0.95 0.00116109
  23 0.45 0.775 0.000947205
  24 0.47 0.8 0.00097776
  25 0.49 0.7125 0.000870818
  26 0.51 0.7875 0.000962483
  27 0.53 0.7625 0.000931928
  28 0.55 0.5875 0.000718043
  29 0.57 0.7 0.00085554
  30 0.59 0.6875 0.000840263
  31 0.61 0.9 0.00109998
  32 0.63 0.6875 0.000840263
  33 0.65 0.8875 0.0010847
  34 0.67 3.05 0.00372771
  35 0.69 14.7875 0.0180733
  36 0.71 22.375 0.0273467
  37 0.73 21.275 0.0260023
  38 0.75 22.65 0.0276828
  39 0.77 25.775 0.0315022
  40 0.79 24.8875 0.0304175
  41 0.81 25.5125 0.0311814
  42 0.83 23 0.0281106
  43 0.85 23.3875 0.0285842
  44 0.87 22.4125 0.0273926
  45 0.89 27.6125 0.033748
  46 0.91 26.1125 0.0319147
  47 0.93 24.075 0.0294245
  48 0.95 15.575 0.0190358
  49 0.97 2.55 0.00311661
  50 0.99 0.675 0.000824985
1300000 50 350.00000000000006
  1 0.01 0.6375 0.000779153
  2 0.03 0.8375 0.00102359
  3 0.05 0.8625 0.00105415
  4 0.07 0.8125 0.000993038
  5 0.09 0.675 0.000824985
  6 0.11 0.825 0.00100832
  7 0.13 0.625 0.000763875
  8 0.15 0.9 0.00109998
  9 0.17 0.6625 0.000809708
  10 0.19 0.6375 0.000779153
  11 0.21 0.75 0.00091665
  12 0.23 0.7 0.00085554
  13 0.25 0.8125 0.000993038
  14 0.27 0.8625 0.00105415
  15 0.29 0.775 0.000947205
  16 0.31 0.6625 0.000809708
  17 0.33 0.45 0.00054999
  18 0.35 0.6375 0.000779153
  19 0.37 0.5625 0.000687488
  20 0.39 0.7875 0.000962483
  21 0.41 0.7 0.00085554
  22 0.43 0.6875 0.000840263
  23 0.45 0.6875 0.000840263
  24 0.47 0.7625 0.000931928
  25 0.49 0.6375 0.000779153
  26 0.51 0.8125 0.000993038
  27 0.53 0.8125 0.000993038
  28 0.55 0.825 0.00100832
  29 0.57 0.7875 0.000962483
  30 0.59 0.65 0.00079443
  31 0.61 0.6 0.00073332
  32 0.63 0.7875 0.000962483
  33 0.65 0.7875 0.000962483
  34 0.67 2.6875 0.00328466
  35 0.69 14.3125 0.0174927
  36 0.71 20.775 0.0253912
  37 0.73 22.225 0.0271634
  38 0.75 21.4375 0.0262009
  39 0.77 24.575 0.0300356
  40 0.79 25.9125 0.0316703
  41 0.81 27.2625 0.0333202
  42 0.83 24.75 0.0302495
  43 0.85 26.375 0.0322355
  44 0.87 24.2375 0.0296231
  45 0.89 27.2875 0.0333508
  46 0.91 23.5 0.0287217
  47 0.93 22.325 0.0272856
  48 0.95 14.4 0.0175997
  49 0.97 3.1625 0.00386521
  50 0.99 0.7625 0.000931928
1400000 50 350
  1 0.01 0.7375 0.000901373
  2 0.03 0.75 0.00091665
  3 0.05 0.6375 0.000779153
  4 0.07 0.65 0.00079443
  5 0.09 0.45 0.00054999
  6 0.11 0.5375 0.000656933
  7 0.13 0.625 0.000763875
  8 0.15 0.475 0.000580545
  9 0.17 0.5 0.0006111
  10 0.19 0.5125 0.000626378
  11 0.21 0.5 0.0006111
  12 0.23 0.675 0.000824985
  13 0.25 0.4625 0.000565268
  14 0.27 0.5125 0.000626378
  15 0.29 0.475 0.000580545
  16 0.31 0.575 0.000702765
  17 0.33 0.8125 0.000993038
  18 0.35 0.7625 0.000931928
  19 0.37 0.45 0.00054999
  20 0.39 0.6 0.00073332
  21 0.41 0.6125 0.000748598
  22 0.43 0.7 0.00085554
  23 0.45 0.625 0.000763875
  24 0.47 0.675 0.000824985
  25 0.49 0.5875 0.000718043
  26 0.51 0.5875 0.000718043
  27 0.53 0.55 0.00067221
  28 0.55 0.5125 0.000626378
  29 0.57 0.5375 0.000656933
  30 0.59 0.6625 0.000809708
  31 0.61 0.5875 0.000718043
  32 0.63 0.7125 0.000870818
  33 0.65 0.7 0.00085554
  34 0.67 2.6375 0.00322355
  35 0.69 14.925 0.0182413
  36 0.71 22.975 0.0280801
  37 0.73 22.2125 0.0271481
  38 0.75 24.075 0.0294245
  39 0.77 27.3625 0.0334425
  40 0.79 25.7 0.0314106
  41 0.81 25.2 0.0307995
  42 0.83 26.2375 0.0320675
  43 0.85 23.25 0.0284162
  44 0.87 23.3125 0.0284926
  45 0.89 23.8375 0.0291342
  46 0.91 25.95 0.0317161
  47 0.93 25.175 0.0307689
  48 0.95 12.85 0.0157053
  49 0.97 3.8125 0.00465964
  50 0.99 0.7375 0.000901373
1500000 50 350
  1 0.01 0.5375 0.000656933
  2 0.03 0.6125 0.000748598
  3 0.05 0.5875 0.000718043
  4 0.07 0.5 0.0006111
  5 0.09 0.4875 0.000595823
  6 0.11 0.55 0.00067221
  7 0.13 0.475 0.000580545
  8 0.15 0.4375 0.000534713
  9 0.17 0.5 0.0006111
  10 0.19 0.525 0.000641655
  11 0.21 0.4875 0.000595823
  12 0.23 0.6875 0.000840263
  13 0.25 0.65 0.00079443
  14 0.27 0.65 0.00079443
  15 0.29 0.575 0.000702765
  16 0.31 0.675 0.000824985
  17 0.33 0.65 0.00079443
  18 0.35 0.5625 0.000687488
  19 0.37 0.6375 0.000779153
  20 0.39 0.6375 0.000779153
  21 0.41 0.6625 0.000809708
  22 0.43 0.6125 0.000748598
  23 0.45 0.525 0.000641655
  24 0.47 0.7625 0.000931928
  25 0.49 0.7125 0.000870818
  26 0.51 0.6875 0.000840263
  27 0.53 0.8375 0.00102359
  28 0.55 1.05 0.00128331
